,name,iso3,GDP_PCAP
173,"Micronesia, Fed. Sts.",FSM,4166.00476748564
174,Moldova,MDA,7576.19589413326
175,Monaco,MCO,288001.433369041
176,Mongolia,MNG,6750.6301157724
177,Montenegro,MNE,13263.3281277699
178,Morocco,MAR,4153.1943359375
179,Mozambique,MOZ,656.776824637306
180,Myanmar,MMR,1359.05001560107
181,Namibia,NAM,4413.12752211572
182,Nauru,NRU,13609.158837552
183,Nepal,NPL,1447.31004458428
184,Netherlands,NLD,67520.4218956281
185,New Caledonia,NCL,29213.1923192946
186,New Zealand,NZL,49205.1792146792
187,Nicaragua,NIC,2847.53966339498
188,Niger,NER,735.270255787226
189,Nigeria,NGA,1084.16041805436
190,North Macedonia,MKD,9291.85661671864
191,Northern Mariana Islands,MNP,23785.754590043
192,Norway,NOR,86785.4334489176
193,Oman,OMN,20285.2272897377
194,Pakistan,PAK,1478.77277977996
195,Palau,PLW,15610.8231931032
196,Panama,PAN,19161.2188501596
197,Papua New Guinea,PNG,3006.70564478923
198,Paraguay,PRY,6416.09708970845
199,Peru,PER,8452.37167056621
200,Philippines,PHL,3984.8315387656
201,Poland,POL,25103.565661423
202,Portugal,PRT,29292.242104753
203,Puerto Rico (US),PRI,39343.7154660139
204,Qatar,QAT,76688.6941743178
205,Romania,ROU,20080.2096215595
206,Russian Federation,RUS,14889.0185546875
207,Rwanda,RWA,999.65456165547
208,Samoa,WSM,5392.87761915762
209,San Marino,SMR,59879.7173015651
210,Sao Tome and Principe,STP,3490.56883486557
211,Saudi Arabia,SAU,35121.6628687742
212,Senegal,SEN,1773.21829923448
213,Serbia,SRB,13679.2065983557
214,Seychelles,SYC,17858.8226383978
215,Sierra Leone,SLE,806.654650417726
216,Singapore,SGP,90674.066632628
217,Sint Maarten (Dutch part),SXM,41472.5874498583
218,Slovak Republic,SVK,25992.6748502048
219,Slovenia,SVN,34301.0318686594
220,Solomon Islands,SLB,1933.55538435227
221,"Somalia, Fed. Rep.",SOM,629.538899449007
222,South Africa,ZAF,6267.186814093
223,South Sudan,SSD,1080.14718624765
224,Spain,ESP,35326.7683069278
225,Sri Lanka,LKA,4515.56787322732
226,St. Kitts and Nevis,KNA,23960.6534357084
227,St. Lucia,LCA,14181.6303351598
228,St. Martin (French part),MAF,21668.3776525323
229,St. Vincent and the Grenadines,VCT,11501.2265187188
230,Sudan,SDN,984.607666015625
231,Suriname,SUR,6961.78955961526
232,Sweden,SWE,57117.4877440616
233,Switzerland,CHE,103998.186685604
234,Syrian Arab Republic,SYR,1051.67149587463
235,Tajikistan,TJK,1341.20229027672
236,Tanzania,TZA,1186.71691894531
237,Thailand,THA,7346.62022142185
238,Timor-Leste,TLS,1331.9705130185
239,Togo,TGO,1119.38160509429
240,Tonga,TON,5651.59373063157
241,Trinidad and Tobago,TTO,18733.4110406494
242,Tunisia,TUN,4181.13789301228
243,Turkiye,TUR,15892.7157287241
244,Turkmenistan,TKM,6856.65802730208
245,Turks and Caicos Islands,TCA,37506.7798431288
246,Tuvalu,TUV,6344.7750188689
247,Uganda,UGA,1077.91278452817
248,Ukraine,UKR,5389.47314453125
249,United Arab Emirates,ARE,50273.5060469837
250,United Kingdom,GBR,53246.3676145108
251,United States,USA,84534.0407841548
252,Uruguay,URY,23906.5133029408
253,Uzbekistan,UZB,3161.70010632875
254,Vanuatu,VUT,3410.77023167097
255,"Venezuela, RB",VEN,4217.59102643391
256,Viet Nam,VNM,4717.29028732449
257,Virgin Islands (U.S.),VIR,44320.909185774
258,West Bank and Gaza,PSE,2592.30591217647
259,"Yemen, Rep.",YEM,633.887202451545
260,Zambia,ZMB,1187.10943350064
261,Zimbabwe,ZWE,2497.20332208763
